FlowType,Country,CountryCode,TotalMigrants,Male,Female,MalePct,Continent,Year
Emigrants,Poland,616,304.0,155.0,149.0,51.0%,Europe,1990
Emigrants,Taiwan,158,278.0,109.0,169.0,39.2%,Asia,1990
Emigrants,Egypt,818,269.0,152.0,117.0,56.5%,Africa,1990
Emigrants,Brunei Darussalam,96,262.0,140.0,122.0,53.4%,Asia,1990
Emigrants,Samoa,882,236.0,135.0,101.0,57.2%,Oceania,1990
Emigrants,Slovenia,705,226.0,103.0,123.0,45.6%,Europe,1990
Emigrants,New Caledonia,540,226.0,102.0,124.0,45.1%,Oceania,1990
Emigrants,Azerbaijan,31,210.0,98.0,112.0,46.7%,Asia,1990
Emigrants,Colombia,170,192.0,94.0,98.0,49.0%,South America,1990
Emigrants,Mexico,484,189.0,77.0,112.0,40.7%,North America,1990
Emigrants,Uganda,800,137.0,63.0,74.0,46.0%,Africa,1990
Emigrants,Venezuela,862,131.0,68.0,63.0,51.9%,South America,1990
Emigrants,Montenegro,499,130.0,43.0,87.0,33.1%,Europe,1990
Emigrants,Botswana,72,120.0,61.0,59.0,50.8%,Africa,1990
Emigrants,Panama,591,115.0,67.0,48.0,58.3%,Central America,1990
Emigrants,Dem. People's Republic of Korea,408,96.0,53.0,43.0,55.2%,Asia,1990
Emigrants,Zambia,894,81.0,39.0,42.0,48.1%,Africa,1990
Emigrants,Luxembourg,442,74.0,35.0,39.0,47.3%,Europe,1990
Emigrants,Bolivia,68,74.0,33.0,41.0,44.6%,South America,1990
Emigrants,Costa Rica,188,73.0,31.0,42.0,42.5%,Central America,1990
Emigrants,Dominican Republic,214,67.0,47.0,20.0,70.1%,North America,1990
Emigrants,Seychelles,690,67.0,30.0,37.0,44.8%,Africa,1990
Emigrants,Kiribati,296,64.0,40.0,24.0,62.5%,Oceania,1990
Emigrants,French Polynesia,258,63.0,31.0,32.0,49.2%,Oceania,1990
Emigrants,Iceland,352,60.0,23.0,37.0,38.3%,Europe,1990
Emigrants,Cambodia,116,54.0,34.0,20.0,63.0%,Asia,1990
Emigrants,Sri Lanka,144,51.0,32.0,19.0,62.7%,Asia,1990
Emigrants,Guatemala,320,47.0,19.0,28.0,40.4%,Central America,1990
Emigrants,Latvia,428,45.0,26.0,19.0,57.8%,Europe,1990
Emigrants,Maldives,462,37.0,20.0,17.0,54.1%,Asia,1990
Emigrants,El Salvador,222,33.0,13.0,20.0,39.4%,Central America,1990
Emigrants,Bahamas,44,27.0,14.0,13.0,51.9%,North America,1990
Emigrants,Barbados,52,24.0,12.0,12.0,50.0%,North America,1990
Emigrants,Lithuania,440,22.0,13.0,9.0,59.1%,Europe,1990
Emigrants,Belarus,112,21.0,12.0,9.0,57.1%,Europe,1990
Emigrants,Slovakia,703,18.0,8.0,10.0,44.4%,Europe,1990
Emigrants,Laos,418,18.0,10.0,8.0,55.6%,Asia,1990
Emigrants,Ghana,288,17.0,5.0,12.0,29.4%,Africa,1990
Emigrants,Bulgaria,100,13.0,9.0,4.0,69.2%,Europe,1990
Emigrants,Bhutan,64,12.0,10.0,2.0,83.3%,Asia,1990
Emigrants,Central African Republic,140,9.0,9.0,0.0,100.0%,Africa,1990
Emigrants,Swaziland,748,8.0,8.0,0.0,100.0%,Africa,1990
Emigrants,Ecuador,218,8.0,5.0,3.0,62.5%,South America,1990
Emigrants,Antigua and Barbuda,28,7.0,3.0,4.0,42.9%,North America,1990
Emigrants,Saint Lucia,662,7.0,2.0,5.0,28.6%,North America,1990
Emigrants,Mongolia,496,3.0,2.0,1.0,66.7%,Asia,1990
Immigrants,United Kingdom,826,1154167.0,582854.0,571313.0,50.5,Europe,1995
Immigrants,New Zealand,554,304515.0,155912.0,148603.0,51.2,Australia,1995
Immigrants,Italy,380,251302.0,134447.0,116855.0,53.5,Europe,1995
Immigrants,Viet Nam,704,150852.0,76180.0,74672.0,50.5,Asia,1995
Immigrants,Greece,300,137763.0,70397.0,67366.0,51.1,Europe,1995
Immigrants,Germany,276,120547.0,58827.0,61720.0,48.8,Europe,1995
Immigrants,China,156,109378.0,52939.0,56439.0,48.4,Asia,1995
Immigrants,Philippines,608,97920.0,33684.0,64236.0,34.4,Asia,1995
Immigrants,Netherlands,528,96254.0,50726.0,45528.0,52.7,Europe,1995
Immigrants,Malaysia,458,80482.0,37585.0,42897.0,46.7,Asia,1995
Immigrants,India,356,76321.0,40221.0,36100.0,52.7,Asia,1995
Immigrants,Lebanon,422,75884.0,39915.0,35969.0,52.6,Asia,1995
Immigrants,"China, Hong Kong SAR",344,72273.0,35847.0,36426.0,49.6,Asia,1995
Immigrants,Poland,616,71775.0,35457.0,36318.0,49.4,Europe,1995
Immigrants,South Africa,710,59022.0,29039.0,29983.0,49.2,Africa,1995
Immigrants,Croatia,191,57434.0,30325.0,27109.0,52.8,Europe,1995
Immigrants,Malta,470,55588.0,29184.0,26404.0,52.5,Europe,1995
Immigrants,United States of America,840,54904.0,29044.0,25860.0,52.9,North America,1995
Immigrants,Ireland,372,53596.0,27977.0,25619.0,52.2,Europe,1995
Immigrants,Sri Lanka,144,51943.0,26283.0,25660.0,50.6,Asia,1995
Immigrants,Serbia,688,50798.0,26567.0,24231.0,52.3,Europe,1995
Immigrants,TFYR Macedonia,807,49600.0,25742.0,23858.0,51.9,Europe,1995
Immigrants,Indonesia,360,47200.0,23553.0,23647.0,49.9,Asia,1995
Immigrants,Fiji,242,39284.0,18463.0,20821.0,47,Oceania,1995
Immigrants,Egypt,818,38550.0,19776.0,18774.0,51.3,Africa,1995
Immigrants,Turkey,792,31349.0,16301.0,15048.0,52,Asia,1995
Immigrants,Singapore,702,29696.0,13987.0,15709.0,47.1,Asia,1995
Immigrants,Republic of Korea,410,29158.0,14025.0,15133.0,48.1,Asia,1995
Immigrants,Hungary,348,28116.0,15211.0,12905.0,54.1,Europe,1995
Immigrants,Canada,124,27132.0,13268.0,13864.0,48.9,North America,1995
Immigrants,Chile,152,26944.0,13041.0,13903.0,48.4,South America,1995
Immigrants,Papua New Guinea,598,26204.0,12211.0,13993.0,46.6,Oceania,1995
Immigrants,Japan,392,25256.0,10153.0,15103.0,40.2,Asia,1995
Immigrants,Cyprus,196,23367.0,11894.0,11473.0,50.9,Asia,1995
Immigrants,Cambodia,116,23312.0,11446.0,11866.0,49.1,Asia,1995
Immigrants,Austria,40,22990.0,12323.0,10667.0,53.6,Europe,1995
Immigrants,Thailand,764,18987.0,7348.0,11639.0,38.7,Asia,1995
Immigrants,Mauritius,480,18945.0,9226.0,9719.0,48.7,Africa,1995
Immigrants,Portugal,620,18638.0,9729.0,8909.0,52.2,Europe,1995
Immigrants,Iran,364,18533.0,10008.0,8525.0,54,Asia,1995
Immigrants,Bosnia and Herzegovina,70,17878.0,9189.0,8689.0,51.4,Europe,1995
Immigrants,Taiwan,158,17876.0,8277.0,9599.0,46.3,Asia,1995
Immigrants,Ukraine,804,17194.0,8047.0,9147.0,46.8,Europe,1995
Immigrants,Russian Federation,643,16829.0,7018.0,9811.0,41.7,Europe,1995
Immigrants,France,250,16013.0,8087.0,7926.0,50.5,Europe,1995
Immigrants,Spain,724,14782.0,7879.0,6903.0,53.3,Europe,1995
Immigrants,Iraq,368,13845.0,7822.0,6023.0,56.5,Asia,1995
Immigrants,Czech Republic,203,13817.0,7558.0,6259.0,54.7,Europe,1995
Immigrants,Romania,642,12708.0,6595.0,6113.0,51.9,Europe,1995
Immigrants,Argentina,32,12098.0,5976.0,6122.0,49.4,South America,1995
Immigrants,Laos,418,11088.0,5633.0,5455.0,50.8,Asia,1995
Immigrants,Uruguay,858,11053.0,5394.0,5659.0,48.8,South America,1995
Immigrants,Myanmar,104,11020.0,5378.0,5642.0,48.8,Asia,1995
Immigrants,El Salvador,222,10890.0,5347.0,5543.0,49.1,Central America,1995
Immigrants,Switzerland,756,10748.0,5825.0,4923.0,54.2,Europe,1995
Immigrants,Samoa,882,10039.0,4738.0,5301.0,47.2,Oceania,1995
Immigrants,Zimbabwe,716,9840.0,4959.0,4881.0,50.4,Africa,1995
Immigrants,Denmark,208,9670.0,5299.0,4371.0,54.8,Europe,1995
Immigrants,Slovenia,705,9611.0,5151.0,4460.0,53.6,Europe,1995
Immigrants,Latvia,428,9579.0,4732.0,4847.0,49.4,Europe,1995
Immigrants,Finland,246,9390.0,4488.0,4902.0,47.8,Europe,1995
Immigrants,Pakistan,586,7954.0,4621.0,3333.0,58.1,Asia,1995
Immigrants,Tonga,776,7731.0,3688.0,4043.0,47.7,Oceania,1995
Immigrants,Israel,376,7053.0,3844.0,3209.0,54.5,Asia,1995
Immigrants,Syrian Arab Republic,760,6443.0,3254.0,3189.0,50.5,Asia,1995
Immigrants,Afghanistan,4,6337.0,3359.0,2978.0,53,Asia,1995
Immigrants,Sweden,752,6156.0,3207.0,2949.0,52.1,Europe,1995
Immigrants,Kenya,404,5799.0,3021.0,2778.0,52.1,Africa,1995
Immigrants,Slovakia,703,5741.0,3163.0,2578.0,55.1,Europe,1995
Immigrants,Montenegro,499,5263.0,2789.0,2474.0,53,Europe,1995
Immigrants,Peru,604,5103.0,2266.0,2837.0,44.4,South America,1995
Immigrants,Belgium,56,4991.0,2426.0,2565.0,48.6,Europe,1995
Immigrants,Bangladesh,50,4950.0,2930.0,2020.0,59.2,Asia,1995
Immigrants,Lithuania,440,4916.0,2561.0,2355.0,52.1,Europe,1995
Immigrants,Brazil,76,3446.0,1606.0,1840.0,46.6,South America,1995
Immigrants,State of Palestine,275,3087.0,1775.0,1312.0,57.5,Asia,1995
Immigrants,Seychelles,690,2918.0,1389.0,1529.0,47.6,Africa,1995
Immigrants,Zambia,894,2855.0,1439.0,1416.0,50.4,Africa,1995
Immigrants,Jordan,400,2809.0,1559.0,1250.0,55.5,Asia,1995
Immigrants,Norway,578,2647.0,1480.0,1167.0,55.9,Europe,1995
Immigrants,Colombia,170,2603.0,1247.0,1356.0,47.9,South America,1995
Immigrants,Estonia,233,2547.0,1164.0,1383.0,45.7,Europe,1995
Immigrants,Bulgaria,100,2495.0,1407.0,1088.0,56.4,Europe,1995
Immigrants,Ethiopia,231,2306.0,1234.0,1072.0,53.5,Africa,1995
Immigrants,Sudan,729,2214.0,1173.0,1041.0,53,Africa,1995
Immigrants,"China, Macao SAR",446,1912.0,876.0,1036.0,45.8,Asia,1995
Immigrants,Brunei Darussalam,96,1791.0,917.0,874.0,51.2,Asia,1995
Immigrants,Somalia,706,1768.0,960.0,808.0,54.3,Africa,1995
Immigrants,Tanzania,834,1723.0,956.0,767.0,55.5,Africa,1995
Immigrants,Kuwait,414,1615.0,833.0,782.0,51.6,Asia,1995
